no,name,stock_code,team
258,EQ8 MSCI MALAYSIA ISLAMIC DIVIDEND ETF,0824EA,2
259,EQ8 MSCI SEA ISLAMIC DIVIDEND ETF,0825EA,2
260,EQUITIESTRACKER HOLDINGS BERHAD,03021,4
261,ES CERAMICS TECHNOLOGY BHD,0100,4
262,ESTHETICS INTERNATIONAL GROUP BERHAD,5081,3
263,EUPE CORPORATION BERHAD,6815,1
264,EURO HOLDINGS BERHAD,7208,3
265,EUROSPAN HOLDINGS BERHAD,7094,3
266,EVD BERHAD,0174,4
267,EVERGREEN FIBREBOARD BERHAD,5101,2
268,EVERGREEN MAX CASH CAPITAL BERHAD,0286,4
269,EVERSAFE RUBBER BERHAD,0190,4
270,EVERSENDAI CORPORATION BERHAD,5205,7
271,EWEIN BERHAD,7249,1
272,EXCEL FORCE MSC BERHAD,0065,7
273,FACB INDUSTRIES INCORPORATED BERHAD,2984,2
274,FAJARBARU BUILDER GROUP BHD,7047,7
275,FAR EAST HOLDINGS BERHAD,5029,1
276,FARLIM GROUP (MALAYSIA) BHD,6041,1
277,FARM FRESH BERHAD,5306,3
278,FARM PRICE HOLDINGS BERHAD,0304,4
279,FAST ENERGY HOLDINGS BERHAD,0084,4
280,FAVELLE FAVCO BERHAD,7229,2
281,FCW HOLDINGS BERHAD,2755,3
282,FEDERAL INTERNATIONAL HOLDINGS BERHAD,8605,3
283,FEYTECH HOLDINGS BERHAD,5322,2
284,FGV HOLDINGS BERHAD,5222,1
285,FIAMMA HOLDINGS BERHAD,6939,3
286,FIBON BERHAD,0149,2
287,FIBROMAT (M) BERHAD,03026,4
288,FIMA CORPORATION BERHAD,3107,2
289,FINTEC GLOBAL BERHAD,0150,4
290,FITTERS DIVERSIFIED BERHAD,9318,2
291,FLEXIDYNAMIC HOLDINGS BERHAD,0231,4
292,FM GLOBAL LOGISTICS HOLDINGS BERHAD,7210,3
293,FOCUS DYNAMICS GROUP BERHAD,0116,4
294,FOCUS LUMBER BERHAD,5197,2
295,FOCUS POINT HOLDINGS BERHAD,0157,3
296,FORMOSA PROSONIC INDUSTRIES BERHAD,9172,3
297,FOUNDPAC GROUP BERHAD,5277,2
298,FRASER & NEAVE HOLDINGS BHD,3689,3
299,FRONTKEN CORPORATION BERHAD,0128,7
300,FSBM HOLDINGS BERHAD,9377,7
301,FTSE BURSA MALAYSIA KLCI ETF,0820EA,2
302,G CAPITAL BERHAD,7676,3
303,G3 GLOBAL BERHAD,7184,3
304,GABUNGAN AQRS BERHAD,5226,7
305,GADANG HOLDINGS BHD,9261,7
306,GAGASAN NADI CERGAS BERHAD,0206,4
307,GAMUDA BERHAD,5398,7
308,GAS MALAYSIA BERHAD,5209,1
309,GDB HOLDINGS BERHAD,0198,7
310,GDEX BERHAD,0078,3
311,GENETEC TECHNOLOGY BERHAD,0104,7
312,GENTING BERHAD,3182,3
313,GENTING MALAYSIA BERHAD,4715,3
314,GENTING PLANTATIONS BERHAD,2291,3
315,GEORGE KENT (MALAYSIA) BERHAD,3204,7
316,GE-SHEN CORPORATION BERHAD,7197,2
317,GFM SERVICES BERHAD,0039,2
318,GHL SYSTEMS BERHAD,0021,7
319,GIIB HOLDINGS BERHAD,7192,2
320,GLOBAL ORIENTAL BERHAD,1147,1
321,GLOBALTEC FORMATION BERHAD,5220,2
322,GLOBETRONICS TECHNOLOGY BERHAD,7022,7
323,GLOMAC BERHAD,5020,1
324,GLOSTREXT BERHAD,0284,4
325,GO HUB CAPITAL BERHAD,0311,4
326,GO INNOVATE ASIA BERHAD,03028,4
327,GOLDEN LAND BERHAD,7382,1
328,GOLDEN PHAROS BERHAD,5649,2
329,GOPENG BERHAD,2135,1
330,GPP RESOURCES BERHAD,03029,4
331,GRAND CENTRAL ENTERPRISES BHD,5592,3
332,GREATECH TECHNOLOGY BERHAD,0208,7
333,GREATER BAY HOLDINGS BERHAD,9148,2
334,GREEN OCEAN CORPORATION BERHAD,0074,4
335,GREEN PACKET BERHAD,0082,7
336,GREENYIELD BERHAD,0136,3
337,GROMUTUAL BERHAD,9962,1
338,GUAN CHONG BERHAD,5102,3
339,GUH HOLDINGS BERHAD,3247,2
340,GUOCOLAND (MALAYSIA) BERHAD,1503,1
341,HAILY GROUP BERHAD,0237,4
342,HANDAL ENERGY BERHAD,7253,3
343,HAP SENG CONSOLIDATED BERHAD,3034,1
344,HAP SENG PLANTATIONS HOLDINGS BERHAD,5138,1
345,HARBOUR-LINK GROUP BERHAD,2062,3
346,HARN LEN CORPORATION BHD,7501,1
347,HARRISONS HOLDINGS (MALAYSIA) BERHAD,5008,3
348,HARTALEGA HOLDINGS BERHAD,5168,1
349,HARVEST MIRACLE CAPITAL BERHAD,0060,4
350,HB GLOBAL LIMITED,5187,3
351,HCK CAPITAL GROUP BERHAD,7105,1
352,HE GROUP BERHAD,0296,4
353,HEINEKEN MALAYSIA BERHAD,3255,3
354,HEITECH PADU BERHAD,5028,7
355,HEKTAR REAL ESTATE INVESTMENT TRUST,5121,1
356,HENGYUAN REFINING COMPANY BERHAD,4324,3
357,HEVEABOARD BERHAD,5095,2
358,HEXTAR CAPITAL BERHAD,0035,4
359,HEXTAR GLOBAL BERHAD,5151,2
360,HEXTAR HEALTHCARE BERHAD,7803,1
361,HEXTAR INDUSTRIES BERHAD,0161,2
362,HEXTAR RETAIL BERHAD,7202,3
363,HEXTAR TECHNOLOGIES SOLUTIONS BERHAD,5136,3
364,HEXZA CORPORATION BERHAD,3298,2
365,HHRG BERHAD,0175,4
366,HIAP HUAT HOLDINGS BERHAD,0160,4
367,HIAP TECK VENTURE BERHAD,5072,2
368,HIBISCUS PETROLEUM BERHAD,5199,3
369,HIL INDUSTRIES BERHAD,8443,2
370,HLT GLOBAL BERHAD,0188,4
371,HO HUP CONSTRUCTION COMPANY BHD,5169,7
372,HO WAH GENTING BERHAD,9601,2
373,HOMERITZ CORPORATION BERHAD,5160,3
374,HONG LEONG BANK BERHAD,5819,1
375,HONG LEONG CAPITAL BERHAD,5274,1
376,HONG LEONG FINANCIAL GROUP BERHAD,1082,1
377,HONG LEONG INDUSTRIES BERHAD,3301,1
378,HONG SENG CONSOLIDATED BERHAD,0041,7
379,HPMT HOLDINGS BERHAD,5291,2
380,HPP HOLDINGS BERHAD,0228,4
381,HSS ENGINEERS BERHAD,0185,2
382,HUA YANG BERHAD,5062,1
383,HUBLINE BERHAD,7013,3
384,HUME CEMENT INDUSTRIES BERHAD,5000,1
385,HUP SENG INDUSTRIES BERHAD,5024,3
386,HWA TAI INDUSTRIES BERHAD,8478,3
387,I-BERHAD,4251,1
388,IBRACO BERHAD,5084,1
389,ICAPITAL.BIZ BERHAD,5108,2
390,ICON OFFSHORE BERHAD,5255,3
391,ICONIC WORLDWIDE BERHAD,9113,3
392,ICT ZONE ASIA BERHAD,03038,4
393,IDB TECHNOLOGIES BERHAD,03030,4
394,IDEAL CAPITAL BERHAD,9687,1
395,IFCA MSC BERHAD,0023,4
396,IGB BERHAD,5606,1
397,IGB COMMERCIAL REAL ESTATE INVESTMENT TRUST,5299,1
398,IGB REAL ESTATE INVESTMENT TRUST,5227,1
399,IHH HEALTHCARE BERHAD,5225,1
400,IHSAN SUKUK-ETBS 4.60%0824,0401GA,2
401,IJM CORPORATION BERHAD,3336,7
402,ILB GROUP BERHAD,5614,3
403,IMASPRO CORPORATION BERHAD,7222,2
404,INARI AMERTRON BERHAD,0166,7
405,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,2607,1
406,INDUSTRONICS BERHAD,9393,7
407,INFOLINE TEC GROUP BERHAD,0253,4
408,INFOMINA BERHAD,0265,4
409,INFRAHARTA HOLDINGS BERHAD,7240,7
410,INGENIEUR GUDANG BERHAD,5178,2
